<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Net income available for common shareholders (A), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"72,738",<!-- rich cell -->, ,$,"61,271", 
,,,,,,,,,,,,
,,,,,,,,,,,,
Weighted average outstanding shares of common stock (B), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,496",<!-- rich cell -->, , ,"7,547", 
Dilutive effect of stock-based awards, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,44,<!-- rich cell -->, , ,61, 
,,,,,,,,,,,,
,,,,,,,,,,,,
Common stock and common stock equivalents (C), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,540",<!-- rich cell -->, , ,"7,608", 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, , , , , , , , , , , , 
,,,,,,,,,,,,
Basic (A/B), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,9.70,<!-- rich cell -->, ,$,8.12, 
Diluted (A/C), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,9.65,<!-- rich cell -->, ,$,8.05, 
,,,,,,,,,,,,
