,,,,,<!-- rich cell -->,<!-- rich cell -->,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 1.,,Business,,3,
,,,,,,,
,,,,Information about our Executive Officers,,13,
,,,,,,,
,,Item 1A.,,Risk Factors,,16,
,,,,,,,
,,Item 1B.,,Unresolved Staff Comments,,29,
,,,,,,,
,,Item 1C.,,Cybersecurity,,29,
,,,,,,,
,,Item 2.,,Properties,,31,
,,,,,,,
,,Item 3.,,Legal Proceedings,,31,
,,,,,,,
,,Item 4.,,Mine Safety Disclosures,,31,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 5.,,"Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities",,32,
,,,,,,,
,,Item 6.,,[Reserved],,32,
,,,,,,,
,,Item 7.,,Management’s Discussion and Analysis of Financial Condition and Results of Operations,,33,
,,,,,,,
,,Item 7A.,,Quantitative and Qualitative Disclosures About Market Risk,,47,
,,,,,,,
,,Item 8.,,Financial Statements and Supplementary Data,,48,
,,,,,,,
,,Item 9.,,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,,88,
,,,,,,,
,,Item 9A.,,Controls and Procedures,,88,
,,,,,,,
,,,,Report of Management on Internal Control over Financial Reporting,,88,
,,,,,,,
,,,,Report of Independent Registered Public Accounting Firm,,89,
,,,,,,,
,,Item 9B.,,Other Information,,90,
,,,,,,,
,,Item 9C.,,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,,90,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 10.,,"Directors, Executive Officers, and Corporate Governance",,90,
,,,,,,,
,,Item 11.,,Executive Compensation,,91,
,,,,,,,
,,Item 12.,,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,,91,
,,,,,,,
,,Item 13.,,"Certain Relationships and Related Transactions, and Director Independence",,91,
,,,,,,,
,,Item 14.,,Principal Accountant Fees and Services,,91,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 15.,,Exhibit and Financial Statement Schedules,,92,
,,,,,,,
,,Item 16.,,Form 10-K Summary,,104,
,,,,,,,
,,,,Signatures,,105,
