<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->
 , , , , , , 
,,,,,,
Satya Nadella, , ,55, , ,Chairman and Chief Executive Officer
Judson B. Althoff,,,50,,,Executive Vice President and Chief Commercial Officer
Christopher C. Capossela, , ,53, , ,Executive Vice President and Chief Marketing Officer
Kathleen T. Hogan, , ,57, , ,Executive Vice President and Chief Human Resources Officer
Amy E. Hood, , ,51, , ,Executive Vice President and Chief Financial Officer
Bradford L. Smith, , ,64, , ,Vice Chair and President
Christopher D. Young,,,51,,,"Executive Vice President, Business Development, Strategy, and Ventures"
 , , , , , , 
