<!-- rich cell -->, , , , , , , , , , , , 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Beginning unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"15,593", , ,$,"14,550", 
Decreases related to settlements, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(329,), , ,(317,)
Increases for tax positions related to the current year, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"1,051", , , ,"1,145", 
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,870, , , ,461, 
Decreases for tax positions related to prior years, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(60,), , ,(246,)
Decreases due to lapsed statutes of limitations, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(5,), , ,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ending unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"17,120", , ,$,"15,593", 
,,,,,,,,,,,,
