<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Net income available for common shareholders (A), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"88,136",<!-- rich cell -->, ,$,"72,361", 
,,,,,,,,,,,,
,,,,,,,,,,,,
Weighted average outstanding shares of common stock (B), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,431",<!-- rich cell -->, , ,"7,446", 
Dilutive effect of stock-based awards, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,38,<!-- rich cell -->, , ,26, 
,,,,,,,,,,,,
,,,,,,,,,,,,
Common stock and common stock equivalents (C), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,469",<!-- rich cell -->, , ,"7,472", 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, , , , , , , , , , , , 
,,,,,,,,,,,,
Basic (A/B), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,11.86,<!-- rich cell -->, ,$,9.72, 
Diluted (A/C), ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,11.80,<!-- rich cell -->, ,$,9.68, 
,,,,,,,,,,,,
