<!-- rich cell -->, , , , , , , , , , , , 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Beginning unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"17,120", , ,$,"15,593", 
Decreases related to settlements, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(76,), , ,(329,)
Increases for tax positions related to the current year, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"1,903", , , ,"1,051", 
Increases for tax positions related to prior years , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"4,289", , , ,870, 
Decreases for tax positions related to prior years, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(464,), , ,(60,)
Decreases due to lapsed statutes of limitations, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(12,), , ,(5,)
,,,,,,,,,,,,
,,,,,,,,,,,,
Ending unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"22,760", , ,$,"17,120", 
,,,,,,,,,,,,
